title,oldUrl,category,action,targetPath,contentType,persona
Safelisting IPs for external data connections,/t/x2yys41/safelisting-ips-for-external-data-connections,Product Documentation / 📒 User guide / Apps / Building apps / External data object,migrate,build/external-data/safelisting-ips-for-external-data-connections,guide,citizen-developer
Creating status summary report based on boards in Analytics,/t/g9yh306/creating-status-summary-report-based-on-boards-in-analytics,Product Documentation / 📒 User guide / Analytics / Use cases and solutions,migrate,build/analytics/creating-status-summary-report-based-on-boards-in-analytics,guide,citizen-developer
System tables in Analytics,/t/h7yq95d/system-tables-in-analytics,Product Documentation / 📒 User guide / Analytics / Data sources in analytics,migrate,build/analytics/system-tables-in-analytics,guide,citizen-developer
Managing portal users,/t/q6yq2wc/managing-portal-users,Product Documentation / 📒 User guide / Portal / Portals,migrate,admin/portals/managing-portal-users,guide,admin
Creating and administering a list,/t/35yqkrj/creating-and-administering-a-list,Product Documentation / 📒 User guide / Forms & Expressions / Lists,migrate,build/lists/creating-and-administering-a-list,guide,citizen-developer
Admin actions in a process,/t/60h9qtj/admin-actions-in-a-process,Product Documentation / 📒 User guide / Processes / Administering processes,migrate,admin/processes/admin-actions-in-a-process,guide,admin
Managing members and roles in a board,/t/m1h9qls/managing-members-and-roles-in-a-board,Product Documentation / 📒 User guide / Boards / Managing boards,migrate,build/boards/managing-members-and-roles-in-a-board,guide,citizen-developer
Managing reports,/t/p8h9qz2/managing-reports,Product Documentation / 📒 User guide / Analytics / Reports in analytics,migrate,build/analytics/managing-reports,guide,citizen-developer
Adding and managing users,/t/y4h4aks/adding-and-managing-users,Product Documentation / 📒 User guide / Account management / User and group management / User management,migrate,admin/users/adding-and-managing-users,guide,admin
Creating and managing items,/t/m1h9qlt/creating-and-managing-items,Product Documentation / 📒 User guide / Boards / Using boards,migrate,use/boards/creating-and-managing-items,guide,end-user
API authentication,/t/35h4az8/api-authentication,Product Documentation / 📒 User guide / Account management / Account settings / My settings / Security settings,migrate,use/personal-settings/api-authentication,guide,end-user
Field events,/t/35h4alq/field-events,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Fields,migrate,build/forms/field-events,reference,citizen-developer
Public forms,/t/35h9qtk/public-forms,Product Documentation / 📒 User guide / Processes / Processes,migrate,build/processes/public-forms,guide,citizen-developer
Aggregation field,/t/83h4azk/aggregation-field,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Field types,migrate,build/forms/field-types/aggregation-field,reference,citizen-developer
Impersonating users using a service account,/t/35h4ak5/impersonating-users-using-a-service-account,Product Documentation / 📒 User guide / Account management / Service accounts / Service accounts,migrate,admin/service-accounts/impersonating-users-using-a-service-account,guide,admin
Aging report,/t/83h9qlr/aging-report,Product Documentation / 📒 User guide / Boards / Reports in Boards / Board metrics,migrate,build/boards/aging-report,reference,citizen-developer
Managing group chats,/t/60h9qfh/managing-group-chats,Product Documentation / 📒 User guide / Chats & Spaces / Chat,archive,,guide,shared
Understanding dataviews,/t/83h9qzn/understanding-dataviews,Product Documentation / 📒 User guide / Analytics / Working with Kissflow Analytics,migrate,build/analytics/understanding-dataviews,guide,citizen-developer
"Selecting a data source for dropdown, multi-select dropdown, checkbox, and radio fields",/t/q6h4azg/selecting-a-data-source-for-dropdown-multi-select-dropdown-checkbox-and-radio-fields,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Dropdown fields,migrate,build/forms/field-types/selecting-a-data-source-for-dropdown-multi-select-dropdown-checkbox-and-radio-fields,reference,citizen-developer
Date expressions,/t/p8h4al3/date-expressions,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/date-expressions,reference,citizen-developer
Tabular reports,/t/g9h9qt7/tabular-reports,Product Documentation / 📒 User guide / Processes / Process reports,migrate,build/processes/tabular-reports,guide,citizen-developer
Sheet view in data forms,/t/p8h9qkv/sheet-view-in-data-forms,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms (old),merge,build/forms/sheet-view-in-data-forms,guide,citizen-developer
Multi-language support in Kissflow,/t/60h9qzy/languages-supported-by-kissflow,Product Documentation / 🔎 Quick references / Important information,migrate,whats-new/important-notices/languages-supported-by-kissflow,reference,shared
Types of apps in Kissflow App Store,/t/x2h9qta/types-of-apps-in-kissflow-app-store,Product Documentation / 📒 User guide / Apps / App Store,migrate,app-store/types-of-apps-in-kissflow-app-store,guide,shared
Managing spaces,/t/83h9qfx/managing-spaces,Product Documentation / 📒 User guide / Chats & Spaces / Spaces,archive,,guide,shared
Google Drive connector,/t/x2h4als/google-drive-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/google-drive-connector,reference,citizen-developer
List of triggers and actions,/t/60h4aln/list-of-triggers-and-actions,Product Documentation / 📒 User guide / Integrations / Integrations,migrate,build/integrations/list-of-triggers-and-actions,guide,citizen-developer
Configuring a board form,/t/h7h9qlx/configuring-a-board-form,Product Documentation / 📒 User guide / Boards / Boards,migrate,build/boards/configuring-a-board-form,guide,citizen-developer
App versioning,/t/m1h9qkg/app-versioning,Product Documentation / 📒 User guide / Apps / Introduction to Kissflow Apps,migrate,build/apps/app-versioning,overview,citizen-developer
Setting up SCIM with Okta,/t/60h4akv/setting-up-scim-with-okta,Product Documentation / 📒 User guide / Account management / User provisioning / SCIM provisioning,migrate,admin/provisioning/setting-up-scim-with-okta,guide,admin
"Renaming, Duplicating, and archiving app integrations",/t/g9h9qfz/renaming-duplicating-archiving-app-integration,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Configuring Snowflake for Kissflow connector for BI,/t/x2h9qz1/configuring-snowflake-for-kissflow-connector-for-bi,Product Documentation / 📒 User guide / Analytics / Connector for BI,migrate,build/analytics/configuring-snowflake-for-kissflow-connector-for-bi,guide,citizen-developer
Managing boards in PWA,/t/g9h9qz4/managing-boards-in-pwa,Product Documentation / 🎬 Getting started / Onboarding guide,migrate,get-started/managing-boards-in-pwa,tutorial,shared
Using XML to lookup data,/t/p8h4az0/using-xml-to-lookup-data,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Remote lookup,migrate,build/forms/field-types/using-xml-to-lookup-data,reference,citizen-developer
Geolocation field,/t/q6h4az7/geolocation-field,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Field types,migrate,build/forms/field-types/geolocation-field,reference,citizen-developer
Creating and managing a dataset view,/t/y4h4alr/creating-dataset-views,Product Documentation / 📒 User guide / Datasets / Dataset views,migrate,build/datasets/creating-dataset-views,guide,citizen-developer
"Duplicating, archiving, and deleting an integration",/t/35h4akt/duplicating-archiving-and-deleting-an-integration,Product Documentation / 📒 User guide / Integrations / Managing integrations,migrate,build/integrations/duplicating-archiving-and-deleting-an-integration,guide,citizen-developer
Conditional steps,/t/83h9qth/conditional-steps,Product Documentation / 📒 User guide / Processes / Process workflows,migrate,build/processes/workflow-design/conditional-steps,guide,citizen-developer
App deployment,/t/h7yz5qq/app-deployment,Product Documentation / 📒 User guide / Apps / Deploying apps,migrate,build/apps/app-deployment,guide,citizen-developer
Columns (deprecated),/t/g9yzj4t/columns-deprecated,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/columns-deprecated,reference,citizen-developer
Generating document templates,/t/y4yzjc0/generating-document-templates,Product Documentation / 📒 User guide / Apps / Building apps / Processes in apps,migrate,build/processes/generating-document-templates,guide,citizen-developer
Kissflow Dataform connector,/t/y4yzjan/kissflow-dataform-connector,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms in apps,migrate,build/forms/kissflow-dataform-connector-alt2,guide,citizen-developer
Card report for apps,/t/h7y8qgv/card-report-for-apps,Product Documentation / 📒 User guide / Apps / Building apps / Pages,migrate,build/pages/card-report-for-apps,guide,citizen-developer
Testing a decision table,/t/83yxbf8/testing-a-decision-table,Product Documentation / 📒 User guide / Decision tables / Decision tables for Kissflow Apps,migrate,build/decision-tables/testing-a-decision-table,guide,citizen-developer
Compliance and backup history,/t/35y3mfj/compliance-and-backup-history,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Data backup,migrate,admin/data-backup/compliance-and-backup-history,guide,admin
Time zones in external data objects,/t/60yys4f/time-zones-in-external-data-objects,Product Documentation / 📒 User guide / Apps / Building apps / External data object,migrate,build/external-data/time-zones-in-external-data-objects,guide,citizen-developer
Governing authentication keys,/t/35hvt0h/governing-authentication-keys,Product Documentation / 📒 User guide / Account management / Account governance / Account governance,migrate,admin/governance/governing-authentication-keys,guide,admin
Setting up Kissflow BI connector with Microsoft Power BI via ODBC,/t/m1h9qzk/setting-up-kissflow-bi-connector-with-microsoft-power-bi-via-odbc,Product Documentation / 📒 User guide / Analytics / Connector for BI,migrate,build/analytics/setting-up-kissflow-bi-connector-with-microsoft-power-bi-via-odbc,guide,citizen-developer
Date and Date time field,/t/x2h4azf/date-and-date-time-field,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Field types,migrate,build/forms/field-types/date-and-date-time-field,reference,citizen-developer
Process live forms,/t/p8h4azt/process-live-forms,Product Documentation / 📒 User guide / Forms & Expressions / Forms,migrate,build/forms/process-live-forms,guide,citizen-developer
Status performance report,/t/m1h9qlj/status-performance-report,Product Documentation / 📒 User guide / Boards / Reports in Boards / Board metrics,migrate,build/boards/status-performance-report,reference,citizen-developer
Ensuring smooth access to Kissflow [Troubleshooting tip],/t/m1h9qz3/ensuring-smooth-access-to-kissflow-troubleshooting-tip,Product Documentation / 💼 Troubleshooting guide / Troubleshooting tips and tricks,migrate,reference/troubleshooting/ensuring-smooth-access-to-kissflow-troubleshooting-tip,troubleshooting,shared
Automating barcode scanning in a process form,/t/y4h9qtf/how-to-automate-barcode-scanning-in-a-process-form,Product Documentation / 📒 User guide / Processes / Processes,migrate,build/processes/how-to-automate-barcode-scanning-in-a-process-form,guide,citizen-developer
Using Kissflow App Store,/t/m1h9qt0/using-kissflow-app-store,Product Documentation / 📒 User guide / Apps / App Store,migrate,app-store/using-kissflow-app-store,guide,shared
Boards FAQs,/t/y4h9qlh/boards-faqs,Product Documentation / 🔎 Quick references / Frequently asked questions,migrate,reference/faq/boards-faqs,reference,shared
Exporting user data,/t/x2h4ak7/exporting-user-data,Product Documentation / 📒 User guide / Account management / User and group management / User management,migrate,admin/users/exporting-user-data,guide,admin
Setting up SCIM with OneLogin,/t/g9h4ak9/setting-up-scim-with-onelogin,Product Documentation / 📒 User guide / Account management / User provisioning / SCIM provisioning,migrate,admin/provisioning/setting-up-scim-with-onelogin,guide,admin
App integration settings,/t/p8h9qft/app-integration-settings,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Apps SDK reference,/t/x2h9qpg/apps-sdk-reference,Product Documentation / 📒 User guide / Apps / Introduction to Kissflow Apps,migrate,build/apps/apps-sdk-reference,overview,citizen-developer
File upload settings,/t/60h4akw/file-upload-settings,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Account settings,migrate,admin/account-settings/file-upload-settings,guide,admin
Basecamp connector,/t/m1h4al7/basecamp-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/basecamp-connector,reference,citizen-developer
Configuring Google Workspace directory sync,/t/83h4a1y/configuring-google-workspace-directory-sync,Product Documentation / 📒 User guide / Account management / User provisioning / Directory sync,migrate,admin/provisioning/configuring-google-workspace-directory-sync,guide,admin
Subscription and billing,/t/g9h4akk/subscription-and-billing,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Additional settings,migrate,admin/account-settings/subscription-and-billing,guide,admin
Collaborating with other members,/t/83h4ak6/collaborating-with-other-members,Product Documentation / 📒 User guide / Integrations / Managing integrations,migrate,build/integrations/collaborating-with-other-members,guide,citizen-developer
Configuring deadline,/t/60h9qm9/configuring-deadline,Product Documentation / 📒 User guide / Processes / Process workflows,migrate,build/processes/workflow-design/configuring-deadline,guide,citizen-developer
Using a decision table inside apps,/t/35yxbfm/using-a-decision-table-inside-apps,Product Documentation / 📒 User guide / Decision tables / Decision tables for Kissflow Apps,migrate,build/decision-tables/using-a-decision-table-inside-apps,guide,citizen-developer
Creating forum topics,/t/h7h9qfm/creating-forum-topics,Product Documentation / 📒 User guide / Chats & Spaces / Spaces,archive,,guide,shared
Kissflow extension for Gmail,/t/y4h9qz7/kissflow-extension-for-gmail,Product Documentation / 🎬 Getting started / Onboarding guide,migrate,get-started/kissflow-extension-for-gmail,tutorial,shared
Account security,/t/83h4akg/account-security,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Account security,migrate,admin/security/account-security,guide,admin
Understanding your backup output,/t/q6ygsyz/understanding-your-backup-output,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Data backup,migrate,admin/data-backup/understanding-your-backup-output,guide,admin
Watching a process item inside apps,/t/83yg703/watching-a-process-item-inside-apps,Product Documentation / 📒 User guide / Apps / Building apps / Processes in apps,migrate,build/processes/watching-a-process-item-inside-apps,guide,citizen-developer
Watching a process item,/t/h7ygwja/watching-a-process-item,Product Documentation / 📒 User guide / Processes / Using processes,migrate,use/tasks/watching-a-process-item,guide,end-user
Creating triggers,/t/m1ygdrq/creating-triggers,Product Documentation / 📒 User guide / Integrations / Connector builder,migrate,build/integrations/connector-builder/creating-triggers,guide,citizen-developer
Creating actions,/t/83ygdm9/creating-actions,Product Documentation / 📒 User guide / Integrations / Connector builder,migrate,build/integrations/connector-builder/creating-actions,guide,citizen-developer
Input designer,/t/h7ygdmg/input-designer,Product Documentation / 📒 User guide / Integrations / Connector builder,migrate,build/integrations/connector-builder/input-designer,guide,citizen-developer
Environment variables,/t/35ygdmp/environment-variables,Product Documentation / 📒 User guide / Integrations / Connector builder,migrate,build/integrations/connector-builder/environment-variables,guide,citizen-developer
Creating a new connector,/t/83ygdm3/creating-a-new-connector,Product Documentation / 📒 User guide / Integrations / Connector builder,migrate,build/integrations/connector-builder/creating-a-new-connector,guide,citizen-developer
Important information: Intermittent access issues due to security challenges,/t/g9yggqv/important-information-intermittent-access-issues-due-to-security-challenges,Product Documentation / 🔎 Quick references / Important information,migrate,whats-new/important-notices/important-information-intermittent-access-issues-due-to-security-challenges,reference,shared
Cryptography connector,/t/m1ygksh/cryptography-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/cryptography-connector,reference,citizen-developer
Scheduling reports in Analytics,/t/83ygf7g/scheduling-reports-in-analytics,Product Documentation / 📒 User guide / Analytics / Reports in analytics,migrate,build/analytics/scheduling-reports-in-analytics,guide,citizen-developer
dateDiff function,/t/q6ygfyb/datediff-function,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/datediff-function,reference,citizen-developer
calendarDays function,/t/m1ygzsv/calendardays,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/calendardays-function,reference,citizen-developer
Portal governance,/t/p8ygls3/portal-governance,Product Documentation / 📒 User guide / Account management / Account governance / Account governance,migrate,admin/governance/portal-governance,guide,admin
Creating custom components using AI,/t/p8yg3zm/creating-custom-components-using-ai,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/creating-custom-components-using-ai,reference,citizen-developer
Repeater,/t/q6yghv0/repeater,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/repeater,reference,citizen-developer
AI control center,/t/y4ypvcj/ai-control-center,Product Documentation / 📒 User guide / Account management / Account governance / Account governance,migrate,admin/governance/ai-control-center,guide,admin
Breadcrumb,/t/y4ypnhz/breadcrumb,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/breadcrumb,reference,citizen-developer
Create a custom action via Smart link,/t/g9ypd3a/create-a-custom-action-via-smart-link,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/create-a-custom-action-via-smart-link,reference,citizen-developer
Important update regarding Kissflow’s SSL certificate,/t/g9ypg0a/important-update-regarding-kissflows-ssl-certificate,Product Documentation / 🔎 Quick references / Important information,migrate,whats-new/important-notices/important-update-regarding-kissflows-ssl-certificate,reference,shared
Board dashboards,/t/x2ypgpt/board-dashboards,Product Documentation / 📒 User guide / Boards / Boards,migrate,build/boards/board-dashboards,guide,citizen-developer
Process dashboards,/t/60ypgp6/process-dashboards,Product Documentation / 📒 User guide / Processes / Processes,migrate,build/processes/process-dashboards,guide,citizen-developer
Episode #3,/t/35ypfcv/episode-3,Product Documentation / 🎧 Pulse Podcast,delete,,guide,shared
Reviewing publish changes,/t/83yp8v4/reviewing-publish-changes,Product Documentation / 📒 User guide / Processes / Administering processes,migrate,admin/processes/reviewing-publish-changes,guide,admin
Guided autofill,/t/p8yp3rx/guided-autofill,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/guided-autofill,reference,shared
Solution analyzer,/t/h7yp3r3/solution-analyzer,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/solution-analyzer,reference,shared
Board files panel,/t/x2yp38y/board-files-panel,Product Documentation / 📒 User guide / Boards / Boards,migrate,build/boards/board-files-panel,guide,citizen-developer
Process files panel,/t/g9yp3xv/process-files-panel,Product Documentation / 📒 User guide / Processes / Processes,migrate,build/processes/process-files-panel,guide,citizen-developer
Files panel,/t/35yp3xl/files-panel,Product Documentation / 📒 User guide / Forms & Expressions / Forms,migrate,build/forms/files-panel,guide,citizen-developer
Choosing the right data-sharing method in Apps,/t/h7ypyab/choosing-the-right-data-sharing-method-in-apps,Product Documentation / 📒 User guide / Apps / Settings / App settings,migrate,build/apps/choosing-the-right-data-sharing-method-in-apps,reference,citizen-developer
Grid,/t/x2ypyam/grid,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/grid,reference,shared
Style,/t/35ypyaq/style,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/style,reference,shared
Scanner,/t/x2ypy09/scanner,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/scanner,reference,shared
AI-suggested fields,/t/h7ypy0s/ai-suggested-fields,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/ai-suggested-fields,reference,shared
Evaluate,/t/35ypy0n/evaluate,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/evaluate,reference,shared
Lookup layout,/t/y4ypy0w/lookup-layout,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/lookup-layout,reference,shared
Root cause,/t/p8ypysw/root-cause,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/root-cause,reference,shared
Impact,/t/q6ypysb/impact,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/impact,reference,shared
Failure analysis,/t/35ypys2/failure-analysis,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/failure-analysis,reference,shared
Troubleshoot,/t/y4ypysr/troubleshoot,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/troubleshoot,reference,shared
Deadline,/t/q6ypqkr/deadline,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/deadline,reference,shared
Administration,/t/m1ypqkp/administration,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/administration,reference,shared
Adding advanced filters using AI,/t/83y19l3/adding-advanced-filters-using-ai,Product Documentation / 📒 User guide / Boards / Using boards,migrate,use/boards/adding-advanced-filters-using-ai,guide,end-user
Solution overview,/t/x2y14w3/solution-overview,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/solution-overview,reference,shared
AI-powered solution overview,/t/p8y1ntk/ai-powered-solution-overview,Product Documentation / 📒 User guide / Processes / Administering processes,migrate,admin/processes/ai-powered-solution-overview,overview,admin
Formula query in integration,/t/m1y1d04/formula-query-in-integration,Product Documentation / 📒 User guide / Forms & Expressions / Forms,migrate,build/forms/formula-query-in-integration,guide,citizen-developer
Solution,/t/83y1b4v/solution,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/solution,reference,shared
AI solution analyzer,/t/q6y1jx0/ai-solution-analyzer,Product Documentation / 📒 User guide / Processes / Administering processes,migrate,admin/processes/ai-solution-analyzer,guide,admin
How to display the names of multiple users from a lookup field in a text field,/t/g9y15xv/how-to-display-the-names-of-multiple-users-from-a-lookup-field-in-a-text-field,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/how-to-display-the-names-of-multiple-users-from-a-lookup-field-in-a-text-field,reference,citizen-developer
Extracting text from parentheses,/t/y4y1p1f/extracting-text-from-parentheses,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/extracting-text-from-parentheses,reference,citizen-developer
Send in-app notification connector,/t/x2y1xbt/send-in-app-notification-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/send-in-app-notification-connector,reference,citizen-developer
Troubleshooting API integration issues,/t/60y13dt/troubleshooting-api-integration-issues,Product Documentation / 📒 User guide / Integrations / Managing integrations,migrate,build/integrations/troubleshooting-api-integration-issues,troubleshooting,citizen-developer
Configuring statuses,/t/g9ykvzn/configuring-statuses,Product Documentation / 📒 User guide / Boards / Boards,migrate,build/boards/configuring-statuses,guide,citizen-developer
Sales,/t/m1yk44d/sales,Product Documentation / 📒 User guide / Integrations / Use cases,migrate,build/integrations/use-cases/sales,use-case,citizen-developer
Utility and general,/t/35yk44g/utility-and-general,Product Documentation / 📒 User guide / Integrations / Use cases,migrate,build/integrations/use-cases/utility-and-general,use-case,citizen-developer
Project management,/t/x2yk4c0/project-management,Product Documentation / 📒 User guide / Integrations / Use cases,migrate,build/integrations/use-cases/project-management,use-case,citizen-developer
Finance and accounting,/t/m1yk4rd/finance-and-accounting,Product Documentation / 📒 User guide / Integrations / Use cases,migrate,build/integrations/use-cases/finance-and-accounting,use-case,citizen-developer
Communication and collaboration,/t/h7yk4r5/communication-and-collaboration,Product Documentation / 📒 User guide / Integrations / Use cases,migrate,build/integrations/use-cases/communication-and-collaboration,use-case,citizen-developer
HR management,/t/60yk4rf/hr-management,Product Documentation / 📒 User guide / Integrations / Use cases,migrate,build/integrations/use-cases/hr-management,use-case,citizen-developer
OpenAI connector,/t/60yk4yy/openai-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/openai-connector,reference,citizen-developer
Marketing automation,/t/q6ykcwk/marketing-automation,Product Documentation / 📒 User guide / Integrations / Use cases,migrate,build/integrations/use-cases/marketing-automation,use-case,citizen-developer
Identity and access management (IAM),/t/g9ykcw7/identity-and-access-management-iam,Product Documentation / 📒 User guide / Integrations / Use cases,migrate,build/integrations/use-cases/identity-and-access-management-iam,use-case,citizen-developer
Agreement management,/t/83ykcd7/agreement-management,Product Documentation / 📒 User guide / Integrations / Use cases,migrate,build/integrations/use-cases/agreement-management,use-case,citizen-developer
Episode #2,/t/y4yk7rn/episode-2,Product Documentation / 🎧 Pulse Podcast,delete,,guide,shared
Working with page layouts,/t/m1ykbax/working-with-page-layouts,Product Documentation / 📒 User guide / Apps / Building apps / Pages,migrate,build/pages/working-with-page-layouts,guide,citizen-developer
Configuring field permissions in dataform views,/t/83ykbq6/configuring-field-permissions-in-dataform-views,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms in apps,migrate,build/forms/configuring-field-permissions-in-dataform-views,guide,citizen-developer
Kissflow Bot,/t/60ykrtw/kissflow-bot,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/kissflow-bot,reference,shared
Subitem,/t/h7ykrt2/subitem,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/subitem,reference,shared
Rich text,/t/y4yk1bl/rich-text,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/rich-text,reference,citizen-developer
Divider,/t/x2yk12w/divider,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/divider,reference,citizen-developer
Creating and managing lists in apps,/t/83ykk7x/creating-and-managing-lists-in-apps,Product Documentation / 📒 User guide / Apps / Building apps / Lists in apps,migrate,build/lists/creating-and-managing-lists-in-apps,guide,citizen-developer
Lists in apps overview,/t/x2ykkn0/lists-in-apps-overview,Product Documentation / 📒 User guide / Apps / Building apps / Lists in apps,migrate,build/lists/lists-in-apps-overview,overview,citizen-developer
SAP S/4HANA connector,/t/p8ykk7q/sap-s4hana-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/sap-s4hana-connector,reference,citizen-developer
App governance,/t/q6ykkzc/app-governance,Product Documentation / 📒 User guide / Account management / Account governance / Account governance,migrate,admin/governance/app-governance,guide,admin
Episode #1,/t/60ykf12/episode-1,Product Documentation / 🎧 Pulse Podcast,delete,,guide,shared
Security settings for boards,/t/83yklr1/security-settings-for-boards,Product Documentation / 📒 User guide / Boards / Managing boards,migrate,build/boards/security-settings-for-boards,guide,citizen-developer
Associated flows for boards,/t/83yklrx/associated-flows-for-boards,Product Documentation / 📒 User guide / Boards / Managing boards,migrate,build/boards/associated-flows-for-boards,guide,citizen-developer
Board audit log,/t/83ykl8g/board-audit-log,Product Documentation / 📒 User guide / Boards / Managing boards,migrate,build/boards/board-audit-log,guide,citizen-developer
Managing audit logs in a dataset,/t/60yk88c/managing-audit-logs-in-a-dataset,Product Documentation / 📒 User guide / Datasets / Administering datasets,migrate,admin/datasets/managing-audit-logs-in-a-dataset,guide,admin
Managing associated flows in a dataset,/t/m1yk8xt/managing-associated-flows-in-a-dataset,Product Documentation / 📒 User guide / Datasets / Administering datasets,migrate,admin/datasets/managing-associated-flows-in-a-dataset,guide,admin
Computing with data extracted from the Geolocation field,/t/y4yfvah/computing-with-data-extracted-from-the-geolocation-field,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/computing-with-data-extracted-from-the-geolocation-field,reference,citizen-developer
Formula builder,/t/m1yf97y/formula-builder,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/formula-builder,reference,shared
App builder,/t/g9yf97q/app-builder,Product Documentation / 🔎 Quick references / Kissflow glossary,migrate,reference/glossary/app-builder,reference,shared
Associated flows for processes,/t/h7yf9xm/associated-flows-for-processes,Product Documentation / 📒 User guide / Processes / Administering processes,migrate,admin/processes/associated-flows-for-processes,guide,admin
monday.com connector,/t/35yf7bx/monday-com-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/monday-com-connector,reference,citizen-developer
Referencing section fields in a table using the parent field,/t/p8yfwn6/referencing-section-fields-in-a-table-using-the-parent-function,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/referencing-section-fields-in-a-table-using-the-parent-function,reference,citizen-developer
Working with custom form field components,/t/35yfjp0/working-with-custom-form-field-components,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/working-with-custom-form-field-components,reference,citizen-developer
Working with custom components in Kissflow Apps,/t/m1yfjgz/working-with-custom-components-in-kissflow-apps,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/working-with-custom-components-in-kissflow-apps,reference,citizen-developer
IDP connector (Intelligent Document Processing),/t/83yfqlv/idp-connector-intelligent-document-processing,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/idp-connector-intelligent-document-processing,reference,citizen-developer
AI formula builder,/t/83ylatd/ai-formula-builder,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/ai-formula-builder,reference,citizen-developer
Handling input behavior for various fields in AI evaluation,/t/m1ylbzc/handling-input-behavior-for-various-fields-in-ai-evaluation,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/handling-input-behavior-for-various-fields-in-ai-evaluation,reference,citizen-developer
Bot settings,/t/g9yl2rg/bot-settings,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Account settings,migrate,admin/account-settings/bot-settings,guide,admin
